question,expected_keywords,expected_conditions,expect_company,expect_indicator,expect_time,description
深桑达A最近一年的前复权最高价走势,"深桑达A,000032.SZ,前复权最高价,ADJHIGH_BACKWARD",TRADE_DT,深桑达A,前复权最高价,1y,[market] 验证 前复权最高价 (kline)
方大集团最新的前复权最高价,"方大集团,000055.SZ,前复权最高价,ADJHIGH_BACKWARD","ORDER BY,LIMIT 1,TRADE_DT",方大集团,前复权最高价,latest,[market] 验证 前复权最高价 (kline)
截至2023年底武商集团的复权最高价,"武商集团,000501.SZ,复权最高价,ADJHIGH_PRICE","<=,2023,TRADE_DT",武商集团,复权最高价,until_2023,[market] 验证 复权最高价 (kline)
2023年平安银行的复权最高价,"平安银行,000001.SZ,复权最高价,ADJHIGH_PRICE","2023,TRADE_DT",平安银行,复权最高价,2023,[market] 验证 复权最高价 (kline)
渝开发最新的前复权最低价,"渝开发,000514.SZ,前复权最低价,ADJLOW_BACKWARD","ORDER BY,LIMIT 1,TRADE_DT",渝开发,前复权最低价,latest,[market] 验证 前复权最低价 (kline)
查一下国药一致的前复权最低价,"国药一致,000028.SZ,前复权最低价,ADJLOW_BACKWARD",TRADE_DT,国药一致,前复权最低价,10y,[market] 验证 前复权最低价 (kline)
皇庭国际最新的复权最低价,"皇庭国际,000056.SZ,复权最低价,ADJLOW_PRICE","ORDER BY,LIMIT 1,TRADE_DT",皇庭国际,复权最低价,latest,[market] 验证 复权最低价 (kline)
2023年方大集团的复权最低价,"方大集团,000055.SZ,复权最低价,ADJLOW_PRICE","2023,TRADE_DT",方大集团,复权最低价,2023,[market] 验证 复权最低价 (kline)
查一下国际医学的前复权开盘价,"国际医学,000516.SZ,前复权开盘价,ADJOPEN_BACKWARD",TRADE_DT,国际医学,前复权开盘价,10y,[market] 验证 前复权开盘价 (kline)
中信海直最近一年的前复权开盘价走势,"中信海直,000099.SZ,前复权开盘价,ADJOPEN_BACKWARD",TRADE_DT,中信海直,前复权开盘价,1y,[market] 验证 前复权开盘价 (kline)
查一下特发信息的复权开盘价,"特发信息,000070.SZ,复权开盘价,ADJOPEN_PRICE",TRADE_DT,特发信息,复权开盘价,10y,[market] 验证 复权开盘价 (kline)
潍柴动力最近一年的复权开盘价走势,"潍柴动力,000338.SZ,复权开盘价,ADJOPEN_PRICE",TRADE_DT,潍柴动力,复权开盘价,1y,[market] 验证 复权开盘价 (kline)
京粮控股最近一年的前复权昨收盘价走势,"京粮控股,000505.SZ,前复权昨收盘价,ADJPRECLOSE_BACKWARD",TRADE_DT,京粮控股,前复权昨收盘价,1y,[market] 验证 前复权昨收盘价 (kline)
胜利股份最新的前复权昨收盘价,"胜利股份,000407.SZ,前复权昨收盘价,ADJPRECLOSE_BACKWARD","ORDER BY,LIMIT 1,TRADE_DT",胜利股份,前复权昨收盘价,latest,[market] 验证 前复权昨收盘价 (kline)
深深房A最近一年的复权昨收盘价走势,"深深房A,000029.SZ,复权昨收盘价,ADJPRECLOSE_PRICE",TRADE_DT,深深房A,复权昨收盘价,1y,[market] 验证 复权昨收盘价 (kline)
查一下沙河股份的复权昨收盘价,"沙河股份,000014.SZ,复权昨收盘价,ADJPRECLOSE_PRICE",TRADE_DT,沙河股份,复权昨收盘价,10y,[market] 验证 复权昨收盘价 (kline)
川能动力最新的周ALPHA(近100周),"川能动力,000155.SZ,周ALPHA(近100周),ALPHA_100W","ORDER BY,LIMIT 1",川能动力,周ALPHA(近100周),latest,[market] 验证 周ALPHA(近100周) (line)
合百集团的周ALPHA(近100周)是多少,"合百集团,000417.SZ,周ALPHA(近100周),ALPHA_100W",,合百集团,周ALPHA(近100周),10y,[market] 验证 周ALPHA(近100周) (line)
ST晨鸣最新的月ALPHA(近24月),"ST晨鸣,000488.SZ,月ALPHA(近24月),ALPHA_24M","ORDER BY,LIMIT 1",ST晨鸣,月ALPHA(近24月),latest,[market] 验证 月ALPHA(近24月) (line)
京粮控股最近一年的月ALPHA(近24月)走势,"京粮控股,000505.SZ,月ALPHA(近24月),ALPHA_24M",,京粮控股,月ALPHA(近24月),1y,[market] 验证 月ALPHA(近24月) (line)
2023年胜利股份的月ALPHA(近60月),"胜利股份,000407.SZ,月ALPHA(近60月),ALPHA_60M",2023,胜利股份,月ALPHA(近60月),2023,[market] 验证 月ALPHA(近60月) (line)
海王生物最新的月ALPHA(近60月),"海王生物,000078.SZ,月ALPHA(近60月),ALPHA_60M","ORDER BY,LIMIT 1",海王生物,月ALPHA(近60月),latest,[market] 验证 月ALPHA(近60月) (line)
神州高铁的日ALPHA(近1年)是多少,"神州高铁,000008.SZ,日ALPHA(近1年),ALPHA_DAY_1Y",,神州高铁,日ALPHA(近1年),10y,[market] 验证 日ALPHA(近1年) (line)
深圳能源最新的日ALPHA(近1年),"深圳能源,000027.SZ,日ALPHA(近1年),ALPHA_DAY_1Y","ORDER BY,LIMIT 1",深圳能源,日ALPHA(近1年),latest,[market] 验证 日ALPHA(近1年) (line)
2023年大悦城的日ALPHA(近2年),"大悦城,000031.SZ,日ALPHA(近2年),ALPHA_DAY_2Y",2023,大悦城,日ALPHA(近2年),2023,[market] 验证 日ALPHA(近2年) (line)
兴业银锡最近一年的日ALPHA(近2年)走势,"兴业银锡,000426.SZ,日ALPHA(近2年),ALPHA_DAY_2Y",,兴业银锡,日ALPHA(近2年),1y,[market] 验证 日ALPHA(近2年) (line)
2023年*ST生物的成交额(本月以来),"*ST生物,000504.SZ,成交额(本月以来),AMOUNT_M",2023,*ST生物,成交额(本月以来),2023,[market] 验证 成交额(本月以来) (line)
截至2023年底北方国际的成交额(本月以来),"北方国际,000065.SZ,成交额(本月以来),AMOUNT_M","<=,2023",北方国际,成交额(本月以来),until_2023,[market] 验证 成交额(本月以来) (line)
截至2023年底南玻A的成交额(本周以来),"南玻A,000012.SZ,成交额(本周以来),AMOUNT_W","<=,2023",南玻A,成交额(本周以来),until_2023,[market] 验证 成交额(本周以来) (line)
2023年金融街的成交额(本周以来),"金融街,000402.SZ,成交额(本周以来),AMOUNT_W",2023,金融街,成交额(本周以来),2023,[market] 验证 成交额(本周以来) (line)
查一下深振业A的周BETA(近100周),"深振业A,000006.SZ,周BETA(近100周),BETA_100W",,深振业A,周BETA(近100周),10y,[market] 验证 周BETA(近100周) (line)
深深房A的周BETA(近100周)是多少,"深深房A,000029.SZ,周BETA(近100周),BETA_100W",,深深房A,周BETA(近100周),10y,[market] 验证 周BETA(近100周) (line)
山东路桥的月BETA(近24月)是多少,"山东路桥,000498.SZ,月BETA(近24月),BETA_24M",,山东路桥,月BETA(近24月),10y,[market] 验证 月BETA(近24月) (line)
美的集团的月BETA(近24月)是多少,"美的集团,000333.SZ,月BETA(近24月),BETA_24M",,美的集团,月BETA(近24月),10y,[market] 验证 月BETA(近24月) (line)
2023年华侨城A的月BETA(近60月),"华侨城A,000069.SZ,月BETA(近60月),BETA_60M",2023,华侨城A,月BETA(近60月),2023,[market] 验证 月BETA(近60月) (line)
截至2023年底美丽生态的月BETA(近60月),"美丽生态,000010.SZ,月BETA(近60月),BETA_60M","<=,2023",美丽生态,月BETA(近60月),until_2023,[market] 验证 月BETA(近60月) (line)
2023年珠海港的日BETA(近1年),"珠海港,000507.SZ,日BETA(近1年),BETA_DAY_1Y",2023,珠海港,日BETA(近1年),2023,[market] 验证 日BETA(近1年) (line)
深赛格最近一年的日BETA(近1年)走势,"深赛格,000058.SZ,日BETA(近1年),BETA_DAY_1Y",,深赛格,日BETA(近1年),1y,[market] 验证 日BETA(近1年) (line)
丰原药业的日BETA(近2年)是多少,"丰原药业,000153.SZ,日BETA(近2年),BETA_DAY_2Y",,丰原药业,日BETA(近2年),10y,[market] 验证 日BETA(近2年) (line)
查一下南玻A的日BETA(近2年),"南玻A,000012.SZ,日BETA(近2年),BETA_DAY_2Y",,南玻A,日BETA(近2年),10y,[market] 验证 日BETA(近2年) (line)
华联控股的流通股本是多少,"华联控股,000036.SZ,流通股本,FLOAT_A_SHR_TODAY",,华联控股,流通股本,10y,[market] 验证 流通股本 (line)
截至2023年底华侨城A的流通股本,"华侨城A,000069.SZ,流通股本,FLOAT_A_SHR_TODAY","<=,2023",华侨城A,流通股本,until_2023,[market] 验证 流通股本 (line)
查一下深粮控股的周平均涨跌幅(近100周),"深粮控股,000019.SZ,周平均涨跌幅(近100周),PCT_CHANGE_AVE_100W",,深粮控股,周平均涨跌幅(近100周),10y,[market] 验证 周平均涨跌幅(近100周) (line)
查一下农产品的周平均涨跌幅(近100周),"农产品,000061.SZ,周平均涨跌幅(近100周),PCT_CHANGE_AVE_100W",,农产品,周平均涨跌幅(近100周),10y,[market] 验证 周平均涨跌幅(近100周) (line)
深康佳A最新的月平均涨跌幅(近24月),"深康佳A,000016.SZ,月平均涨跌幅(近24月),PCT_CHANGE_AVE_24M","ORDER BY,LIMIT 1",深康佳A,月平均涨跌幅(近24月),latest,[market] 验证 月平均涨跌幅(近24月) (line)
查一下华天酒店的月平均涨跌幅(近24月),"华天酒店,000428.SZ,月平均涨跌幅(近24月),PCT_CHANGE_AVE_24M",,华天酒店,月平均涨跌幅(近24月),10y,[market] 验证 月平均涨跌幅(近24月) (line)
深圳华强的月平均涨跌幅(近60月)是多少,"深圳华强,000062.SZ,月平均涨跌幅(近60月),PCT_CHANGE_AVE_60M",,深圳华强,月平均涨跌幅(近60月),10y,[market] 验证 月平均涨跌幅(近60月) (line)
深南电A的月平均涨跌幅(近60月)是多少,"深南电A,000037.SZ,月平均涨跌幅(近60月),PCT_CHANGE_AVE_60M",,深南电A,月平均涨跌幅(近60月),10y,[market] 验证 月平均涨跌幅(近60月) (line)
*ST国华最新的涨跌幅(本月以来),"*ST国华,000004.SZ,涨跌幅(本月以来),PCT_CHANGE_M","ORDER BY,LIMIT 1",*ST国华,涨跌幅(本月以来),latest,[market] 验证 涨跌幅(本月以来) (line)
深深房A最近一年的涨跌幅(本月以来)走势,"深深房A,000029.SZ,涨跌幅(本月以来),PCT_CHANGE_M",,深深房A,涨跌幅(本月以来),1y,[market] 验证 涨跌幅(本月以来) (line)
深圳机场的涨跌幅(本周以来)是多少,"深圳机场,000089.SZ,涨跌幅(本周以来),PCT_CHANGE_W",,深圳机场,涨跌幅(本周以来),10y,[market] 验证 涨跌幅(本周以来) (line)
查一下金隅冀东的涨跌幅(本周以来),"金隅冀东,000401.SZ,涨跌幅(本周以来),PCT_CHANGE_W",,金隅冀东,涨跌幅(本周以来),10y,[market] 验证 涨跌幅(本周以来) (line)
2023年美的集团的昨收盘价,"美的集团,000333.SZ,昨收盘价,PRECLOSE_PRICE","2023,TRADE_DT",美的集团,昨收盘价,2023,[market] 验证 昨收盘价 (kline)
飞亚达最近一年的昨收盘价走势,"飞亚达,000026.SZ,昨收盘价,PRECLOSE_PRICE",TRADE_DT,飞亚达,昨收盘价,1y,[market] 验证 昨收盘价 (kline)
截至2023年底渤海租赁的周收益率标准差(近100周),"渤海租赁,000415.SZ,周收益率标准差(近100周),STD_DEVIATION_100W","<=,2023",渤海租赁,周收益率标准差(近100周),until_2023,[market] 验证 周收益率标准差(近100周) (line)
海王生物最新的周收益率标准差(近100周),"海王生物,000078.SZ,周收益率标准差(近100周),STD_DEVIATION_100W","ORDER BY,LIMIT 1",海王生物,周收益率标准差(近100周),latest,[market] 验证 周收益率标准差(近100周) (line)
2023年合百集团的月收益率标准差(近24月),"合百集团,000417.SZ,月收益率标准差(近24月),STD_DEVIATION_24M",2023,合百集团,月收益率标准差(近24月),2023,[market] 验证 月收益率标准差(近24月) (line)
查一下英特集团的月收益率标准差(近24月),"英特集团,000411.SZ,月收益率标准差(近24月),STD_DEVIATION_24M",,英特集团,月收益率标准差(近24月),10y,[market] 验证 月收益率标准差(近24月) (line)
2023年*ST张股的月收益率标准差(近60月),"*ST张股,000430.SZ,月收益率标准差(近60月),STD_DEVIATION_60M",2023,*ST张股,月收益率标准差(近60月),2023,[market] 验证 月收益率标准差(近60月) (line)
2023年沙河股份的月收益率标准差(近60月),"沙河股份,000014.SZ,月收益率标准差(近60月),STD_DEVIATION_60M",2023,沙河股份,月收益率标准差(近60月),2023,[market] 验证 月收益率标准差(近60月) (line)
深中华A最新的成交金额,"深中华A,000017.SZ,成交金额,S_DQ_AMOUNT","ORDER BY,LIMIT 1",深中华A,成交金额,latest,[market] 验证 成交金额 (line)
截至2023年底东方盛虹的成交金额,"东方盛虹,000301.SZ,成交金额,S_DQ_AMOUNT","<=,2023",东方盛虹,成交金额,until_2023,[market] 验证 成交金额 (line)
截至2023年底华侨城A的涨跌,"华侨城A,000069.SZ,涨跌,S_DQ_CHANGE","<=,2023",华侨城A,涨跌,until_2023,[market] 验证 涨跌 (line)
查一下山东路桥的涨跌,"山东路桥,000498.SZ,涨跌,S_DQ_CHANGE",,山东路桥,涨跌,10y,[market] 验证 涨跌 (line)
截至2023年底珠海港的收盘价,"珠海港,000507.SZ,收盘价,S_DQ_CLOSE","<=,2023,TRADE_DT",珠海港,收盘价,until_2023,[market] 验证 收盘价 (kline)
特发信息的收盘价是多少,"特发信息,000070.SZ,收盘价,S_DQ_CLOSE",TRADE_DT,特发信息,收盘价,10y,[market] 验证 收盘价 (kline)
国际实业的最高价是多少,"国际实业,000159.SZ,最高价,S_DQ_HIGH",TRADE_DT,国际实业,最高价,10y,[market] 验证 最高价 (kline)
查一下ST晨鸣的最高价,"ST晨鸣,000488.SZ,最高价,S_DQ_HIGH",TRADE_DT,ST晨鸣,最高价,10y,[market] 验证 最高价 (kline)
查一下全新好的最低价,"全新好,000007.SZ,最低价,S_DQ_LOW",TRADE_DT,全新好,最低价,10y,[market] 验证 最低价 (kline)
2023年国际实业的最低价,"国际实业,000159.SZ,最低价,S_DQ_LOW","2023,TRADE_DT",国际实业,最低价,2023,[market] 验证 最低价 (kline)
2023年派林生物的流通市值,"派林生物,000403.SZ,流通市值,S_DQ_MV",2023,派林生物,流通市值,2023,[market] 验证 流通市值 (line)
广聚能源的流通市值是多少,"广聚能源,000096.SZ,流通市值,S_DQ_MV",,广聚能源,流通市值,10y,[market] 验证 流通市值 (line)
华天酒店的开盘价是多少,"华天酒店,000428.SZ,开盘价,S_DQ_OPEN",TRADE_DT,华天酒店,开盘价,10y,[market] 验证 开盘价 (kline)
截至2023年底深圳能源的开盘价,"深圳能源,000027.SZ,开盘价,S_DQ_OPEN","<=,2023,TRADE_DT",深圳能源,开盘价,until_2023,[market] 验证 开盘价 (kline)
截至2023年底深纺织A的涨跌幅,"深纺织A,000045.SZ,涨跌幅,S_DQ_PCTCHANGE","<=,2023",深纺织A,涨跌幅,until_2023,[market] 验证 涨跌幅 (line)
2023年深华发A的涨跌幅,"深华发A,000020.SZ,涨跌幅,S_DQ_PCTCHANGE",2023,深华发A,涨跌幅,2023,[market] 验证 涨跌幅 (line)
沈阳机床最近一年的成交量走势,"沈阳机床,000410.SZ,成交量,S_DQ_VOLUME",TRADE_DT,沈阳机床,成交量,1y,[market] 验证 成交量 (kline)
深桑达A的成交量是多少,"深桑达A,000032.SZ,成交量,S_DQ_VOLUME",TRADE_DT,深桑达A,成交量,10y,[market] 验证 成交量 (kline)
2023年深科技的日换手率,"深科技,000021.SZ,日换手率,TURNOVER_D",2023,深科技,日换手率,2023,[market] 验证 日换手率 (line)
新金路最近一年的日换手率走势,"新金路,000510.SZ,日换手率,TURNOVER_D",,新金路,日换手率,1y,[market] 验证 日换手率 (line)
2023年潍柴动力的日换手率(自由流通股本),"潍柴动力,000338.SZ,日换手率(自由流通股本),TURNOVER_D_FLOAT",2023,潍柴动力,日换手率(自由流通股本),2023,[market] 验证 日换手率(自由流通股本) (line)
查一下中集集团的日换手率(自由流通股本),"中集集团,000039.SZ,日换手率(自由流通股本),TURNOVER_D_FLOAT",,中集集团,日换手率(自由流通股本),10y,[market] 验证 日换手率(自由流通股本) (line)
皇庭国际的月换手率是多少,"皇庭国际,000056.SZ,月换手率,TURNOVER_M",,皇庭国际,月换手率,10y,[market] 验证 月换手率 (line)
查一下海王生物的月换手率,"海王生物,000078.SZ,月换手率,TURNOVER_M",,海王生物,月换手率,10y,[market] 验证 月换手率 (line)
查一下天健集团的月平均换手率,"天健集团,000090.SZ,月平均换手率,TURNOVER_M_AVE",,天健集团,月平均换手率,10y,[market] 验证 月平均换手率 (line)
深物业A最新的月平均换手率,"深物业A,000011.SZ,月平均换手率,TURNOVER_M_AVE","ORDER BY,LIMIT 1",深物业A,月平均换手率,latest,[market] 验证 月平均换手率 (line)
盐田港的月平均换手率(自由流通股本)是多少,"盐田港,000088.SZ,月平均换手率(自由流通股本),TURNOVER_M_AVE_FLOAT",,盐田港,月平均换手率(自由流通股本),10y,[market] 验证 月平均换手率(自由流通股本) (line)
招金黄金最新的月平均换手率(自由流通股本),"招金黄金,000506.SZ,月平均换手率(自由流通股本),TURNOVER_M_AVE_FLOAT","ORDER BY,LIMIT 1",招金黄金,月平均换手率(自由流通股本),latest,[market] 验证 月平均换手率(自由流通股本) (line)
华锦股份最新的月换手率(自由流通股本),"华锦股份,000059.SZ,月换手率(自由流通股本),TURNOVER_M_FLOAT","ORDER BY,LIMIT 1",华锦股份,月换手率(自由流通股本),latest,[market] 验证 月换手率(自由流通股本) (line)
2023年深天马A的月换手率(自由流通股本),"深天马A,000050.SZ,月换手率(自由流通股本),TURNOVER_M_FLOAT",2023,深天马A,月换手率(自由流通股本),2023,[market] 验证 月换手率(自由流通股本) (line)
美丽生态的周换手率是多少,"美丽生态,000010.SZ,周换手率,TURNOVER_W",,美丽生态,周换手率,10y,[market] 验证 周换手率 (line)
查一下广聚能源的周换手率,"广聚能源,000096.SZ,周换手率,TURNOVER_W",,广聚能源,周换手率,10y,[market] 验证 周换手率 (line)
华侨城A的周平均换手率是多少,"华侨城A,000069.SZ,周平均换手率,TURNOVER_W_AVE",,华侨城A,周平均换手率,10y,[market] 验证 周平均换手率 (line)
深纺织A的周平均换手率是多少,"深纺织A,000045.SZ,周平均换手率,TURNOVER_W_AVE",,深纺织A,周平均换手率,10y,[market] 验证 周平均换手率 (line)
截至2023年底*ST国华的周平均换手率(自由流通股本),"*ST国华,000004.SZ,周平均换手率(自由流通股本),TURNOVER_W_AVE_FLOAT","<=,2023",*ST国华,周平均换手率(自由流通股本),until_2023,[market] 验证 周平均换手率(自由流通股本) (line)
云鼎科技最新的周平均换手率(自由流通股本),"云鼎科技,000409.SZ,周平均换手率(自由流通股本),TURNOVER_W_AVE_FLOAT","ORDER BY,LIMIT 1",云鼎科技,周平均换手率(自由流通股本),latest,[market] 验证 周平均换手率(自由流通股本) (line)
2023年国际医学的周换手率(自由流通股本),"国际医学,000516.SZ,周换手率(自由流通股本),TURNOVER_W_FLOAT",2023,国际医学,周换手率(自由流通股本),2023,[market] 验证 周换手率(自由流通股本) (line)
中兴通讯最近一年的周换手率(自由流通股本)走势,"中兴通讯,000063.SZ,周换手率(自由流通股本),TURNOVER_W_FLOAT",,中兴通讯,周换手率(自由流通股本),1y,[market] 验证 周换手率(自由流通股本) (line)
粤高速A的周收益率方差(近100周)是多少,"粤高速A,000429.SZ,周收益率方差(近100周),VARIANCE_100W",,粤高速A,周收益率方差(近100周),10y,[market] 验证 周收益率方差(近100周) (line)
2023年深天马A的周收益率方差(近100周),"深天马A,000050.SZ,周收益率方差(近100周),VARIANCE_100W",2023,深天马A,周收益率方差(近100周),2023,[market] 验证 周收益率方差(近100周) (line)
富奥股份最新的月收益率方差(近24月),"富奥股份,000030.SZ,月收益率方差(近24月),VARIANCE_24M","ORDER BY,LIMIT 1",富奥股份,月收益率方差(近24月),latest,[market] 验证 月收益率方差(近24月) (line)
粤高速A最近一年的月收益率方差(近24月)走势,"粤高速A,000429.SZ,月收益率方差(近24月),VARIANCE_24M",,粤高速A,月收益率方差(近24月),1y,[market] 验证 月收益率方差(近24月) (line)
2023年深圳机场的月收益率方差(近60月),"深圳机场,000089.SZ,月收益率方差(近60月),VARIANCE_60M",2023,深圳机场,月收益率方差(近60月),2023,[market] 验证 月收益率方差(近60月) (line)
中洲控股最新的月收益率方差(近60月),"中洲控股,000042.SZ,月收益率方差(近60月),VARIANCE_60M","ORDER BY,LIMIT 1",中洲控股,月收益率方差(近60月),latest,[market] 验证 月收益率方差(近60月) (line)
华侨城A最新的成交量(本月以来),"华侨城A,000069.SZ,成交量(本月以来),VOLUME_M","ORDER BY,LIMIT 1,TRADE_DT",华侨城A,成交量(本月以来),latest,[market] 验证 成交量(本月以来) (kline)
农产品最新的成交量(本月以来),"农产品,000061.SZ,成交量(本月以来),VOLUME_M","ORDER BY,LIMIT 1,TRADE_DT",农产品,成交量(本月以来),latest,[market] 验证 成交量(本月以来) (kline)
2023年沈阳机床的成交量(本周以来),"沈阳机床,000410.SZ,成交量(本周以来),VOLUME_W","2023,TRADE_DT",沈阳机床,成交量(本周以来),2023,[market] 验证 成交量(本周以来) (kline)
华塑控股最近一年的成交量(本周以来)走势,"华塑控股,000509.SZ,成交量(本周以来),VOLUME_W",TRADE_DT,华塑控股,成交量(本周以来),1y,[market] 验证 成交量(本周以来) (kline)
广聚能源的流通股本是多少,"广聚能源,000096.SZ,流通股本,FLOAT_A_SHR_TODAY",,广聚能源,流通股本,10y,[market] 验证 流通股本 (line)
2023年中联重科的流通股本,"中联重科,000157.SZ,流通股本,FLOAT_A_SHR_TODAY",2023,中联重科,流通股本,2023,[market] 验证 流通股本 (line)
深振业A最近一年的涨跌走势,"深振业A,000006.SZ,涨跌,S_DQ_CHANGE",,深振业A,涨跌,1y,[market] 验证 涨跌 (line)
深物业A最近一年的涨跌走势,"深物业A,000011.SZ,涨跌,S_DQ_CHANGE",,深物业A,涨跌,1y,[market] 验证 涨跌 (line)
许继电气最近一年的收盘价走势,"许继电气,000400.SZ,收盘价,S_DQ_CLOSE",TRADE_DT,许继电气,收盘价,1y,[market] 验证 收盘价 (kline)
截至2023年底盐田港的收盘价,"盐田港,000088.SZ,收盘价,S_DQ_CLOSE","<=,2023,TRADE_DT",盐田港,收盘价,until_2023,[market] 验证 收盘价 (kline)
深圳机场最近一年的最高价走势,"深圳机场,000089.SZ,最高价,S_DQ_HIGH",TRADE_DT,深圳机场,最高价,1y,[market] 验证 最高价 (kline)
2023年山东路桥的最高价,"山东路桥,000498.SZ,最高价,S_DQ_HIGH","2023,TRADE_DT",山东路桥,最高价,2023,[market] 验证 最高价 (kline)
截至2023年底华数传媒的最低价,"华数传媒,000156.SZ,最低价,S_DQ_LOW","<=,2023,TRADE_DT",华数传媒,最低价,until_2023,[market] 验证 最低价 (kline)
查一下中信海直的最低价,"中信海直,000099.SZ,最低价,S_DQ_LOW",TRADE_DT,中信海直,最低价,10y,[market] 验证 最低价 (kline)
2023年深物业A的流通市值,"深物业A,000011.SZ,流通市值,S_DQ_MV",2023,深物业A,流通市值,2023,[market] 验证 流通市值 (line)
深振业A的流通市值是多少,"深振业A,000006.SZ,流通市值,S_DQ_MV",,深振业A,流通市值,10y,[market] 验证 流通市值 (line)
截至2023年底万科A的开盘价,"万科A,000002.SZ,开盘价,S_DQ_OPEN","<=,2023,TRADE_DT",万科A,开盘价,until_2023,[market] 验证 开盘价 (kline)
2023年国际医学的开盘价,"国际医学,000516.SZ,开盘价,S_DQ_OPEN","2023,TRADE_DT",国际医学,开盘价,2023,[market] 验证 开盘价 (kline)
