query,keywords,conditions,expect_company,expect_indicator,expect_time,description
查一下深深房A的已宣告分红金额,"深深房A,000029.SZ,已宣告分红金额,DEC_DIV_CASH",,深深房A,已宣告分红金额,10y,[dividend] 验证 已宣告分红金额 (table)
2023年皇庭国际的已宣告分红金额,"皇庭国际,000056.SZ,已宣告分红金额,DEC_DIV_CASH",2023,皇庭国际,已宣告分红金额,2023,[dividend] 验证 已宣告分红金额 (table)
德赛电池的股息率是多少,"德赛电池,000049.SZ,股息率,DIV_YIELD",,德赛电池,股息率,10y,[dividend] 验证 股息率 (table)
查一下深科技的股息率,"深科技,000021.SZ,股息率,DIV_YIELD",,深科技,股息率,10y,[dividend] 验证 股息率 (table)
中联重科的前复权收盘价是多少,"中联重科,000157.SZ,前复权收盘价,ADJCLOSE_BACKWARD",TRADE_DT,中联重科,前复权收盘价,10y,[market] 验证 前复权收盘价 (kline)
派林生物最新的前复权收盘价,"派林生物,000403.SZ,前复权收盘价,ADJCLOSE_BACKWARD","ORDER BY,LIMIT 1,TRADE_DT",派林生物,前复权收盘价,latest,[market] 验证 前复权收盘价 (kline)
京粮控股最近一年的复权收盘价走势,"京粮控股,000505.SZ,复权收盘价,ADJCLOSE_PRICE",TRADE_DT,京粮控股,复权收盘价,1y,[market] 验证 复权收盘价 (kline)
海王生物最新的复权收盘价,"海王生物,000078.SZ,复权收盘价,ADJCLOSE_PRICE","ORDER BY,LIMIT 1,TRADE_DT",海王生物,复权收盘价,latest,[market] 验证 复权收盘价 (kline)
2023年金隅冀东的前复权最高价,"金隅冀东,000401.SZ,前复权最高价,ADJHIGH_BACKWARD","2023,TRADE_DT",金隅冀东,前复权最高价,2023,[market] 验证 前复权最高价 (kline)
2023年藏格矿业的前复权最高价,"藏格矿业,000408.SZ,前复权最高价,ADJHIGH_BACKWARD","2023,TRADE_DT",藏格矿业,前复权最高价,2023,[market] 验证 前复权最高价 (kline)
TCL科技的复权最高价是多少,"TCL科技,000100.SZ,复权最高价,ADJHIGH_PRICE",TRADE_DT,TCL科技,复权最高价,10y,[market] 验证 复权最高价 (kline)
查一下中国宝安的复权最高价,"中国宝安,000009.SZ,复权最高价,ADJHIGH_PRICE",TRADE_DT,中国宝安,复权最高价,10y,[market] 验证 复权最高价 (kline)
华侨城A最新的前复权最低价,"华侨城A,000069.SZ,前复权最低价,ADJLOW_BACKWARD","ORDER BY,LIMIT 1,TRADE_DT",华侨城A,前复权最低价,latest,[market] 验证 前复权最低价 (kline)
许继电气最新的前复权最低价,"许继电气,000400.SZ,前复权最低价,ADJLOW_BACKWARD","ORDER BY,LIMIT 1,TRADE_DT",许继电气,前复权最低价,latest,[market] 验证 前复权最低价 (kline)
2023年美的集团的复权最低价,"美的集团,000333.SZ,复权最低价,ADJLOW_PRICE","2023,TRADE_DT",美的集团,复权最低价,2023,[market] 验证 复权最低价 (kline)
特力A最新的复权最低价,"特力A,000025.SZ,复权最低价,ADJLOW_PRICE","ORDER BY,LIMIT 1,TRADE_DT",特力A,复权最低价,latest,[market] 验证 复权最低价 (kline)
深科技最近一年的前复权开盘价走势,"深科技,000021.SZ,前复权开盘价,ADJOPEN_BACKWARD",TRADE_DT,深科技,前复权开盘价,1y,[market] 验证 前复权开盘价 (kline)
深振业A最新的前复权开盘价,"深振业A,000006.SZ,前复权开盘价,ADJOPEN_BACKWARD","ORDER BY,LIMIT 1,TRADE_DT",深振业A,前复权开盘价,latest,[market] 验证 前复权开盘价 (kline)
皇庭国际的复权开盘价是多少,"皇庭国际,000056.SZ,复权开盘价,ADJOPEN_PRICE",TRADE_DT,皇庭国际,复权开盘价,10y,[market] 验证 复权开盘价 (kline)
截至2023年底ST晨鸣的复权开盘价,"ST晨鸣,000488.SZ,复权开盘价,ADJOPEN_PRICE","<=,2023,TRADE_DT",ST晨鸣,复权开盘价,until_2023,[market] 验证 复权开盘价 (kline)
查一下农产品的前复权昨收盘价,"农产品,000061.SZ,前复权昨收盘价,ADJPRECLOSE_BACKWARD",TRADE_DT,农产品,前复权昨收盘价,10y,[market] 验证 前复权昨收盘价 (kline)
广聚能源最近一年的前复权昨收盘价走势,"广聚能源,000096.SZ,前复权昨收盘价,ADJPRECLOSE_BACKWARD",TRADE_DT,广聚能源,前复权昨收盘价,1y,[market] 验证 前复权昨收盘价 (kline)
2023年京基智农的复权昨收盘价,"京基智农,000048.SZ,复权昨收盘价,ADJPRECLOSE_PRICE","2023,TRADE_DT",京基智农,复权昨收盘价,2023,[market] 验证 复权昨收盘价 (kline)
查一下万科A的复权昨收盘价,"万科A,000002.SZ,复权昨收盘价,ADJPRECLOSE_PRICE",TRADE_DT,万科A,复权昨收盘价,10y,[market] 验证 复权昨收盘价 (kline)
华数传媒的周ALPHA(近100周)是多少,"华数传媒,000156.SZ,周ALPHA(近100周),ALPHA_100W",,华数传媒,周ALPHA(近100周),10y,[market] 验证 周ALPHA(近100周) (line)
2023年美的集团的周ALPHA(近100周),"美的集团,000333.SZ,周ALPHA(近100周),ALPHA_100W",2023,美的集团,周ALPHA(近100周),2023,[market] 验证 周ALPHA(近100周) (line)
南玻A最近一年的月ALPHA(近24月)走势,"南玻A,000012.SZ,月ALPHA(近24月),ALPHA_24M",,南玻A,月ALPHA(近24月),1y,[market] 验证 月ALPHA(近24月) (line)
2023年中金岭南的月ALPHA(近24月),"中金岭南,000060.SZ,月ALPHA(近24月),ALPHA_24M",2023,中金岭南,月ALPHA(近24月),2023,[market] 验证 月ALPHA(近24月) (line)
截至2023年底珠海港的月ALPHA(近60月),"珠海港,000507.SZ,月ALPHA(近60月),ALPHA_60M","<=,2023",珠海港,月ALPHA(近60月),until_2023,[market] 验证 月ALPHA(近60月) (line)
2023年深天马A的月ALPHA(近60月),"深天马A,000050.SZ,月ALPHA(近60月),ALPHA_60M",2023,深天马A,月ALPHA(近60月),2023,[market] 验证 月ALPHA(近60月) (line)
神州高铁最近一年的日ALPHA(近1年)走势,"神州高铁,000008.SZ,日ALPHA(近1年),ALPHA_DAY_1Y",,神州高铁,日ALPHA(近1年),1y,[market] 验证 日ALPHA(近1年) (line)
粤高速A最近一年的日ALPHA(近1年)走势,"粤高速A,000429.SZ,日ALPHA(近1年),ALPHA_DAY_1Y",,粤高速A,日ALPHA(近1年),1y,[market] 验证 日ALPHA(近1年) (line)
截至2023年底东阿阿胶的日ALPHA(近2年),"东阿阿胶,000423.SZ,日ALPHA(近2年),ALPHA_DAY_2Y","<=,2023",东阿阿胶,日ALPHA(近2年),until_2023,[market] 验证 日ALPHA(近2年) (line)
截至2023年底英特集团的日ALPHA(近2年),"英特集团,000411.SZ,日ALPHA(近2年),ALPHA_DAY_2Y","<=,2023",英特集团,日ALPHA(近2年),until_2023,[market] 验证 日ALPHA(近2年) (line)
截至2023年底广聚能源的成交额(本月以来),"广聚能源,000096.SZ,成交额(本月以来),AMOUNT_M","<=,2023",广聚能源,成交额(本月以来),until_2023,[market] 验证 成交额(本月以来) (line)
富奥股份最近一年的成交额(本月以来)走势,"富奥股份,000030.SZ,成交额(本月以来),AMOUNT_M",,富奥股份,成交额(本月以来),1y,[market] 验证 成交额(本月以来) (line)
国际实业最近一年的成交额(本周以来)走势,"国际实业,000159.SZ,成交额(本周以来),AMOUNT_W",,国际实业,成交额(本周以来),1y,[market] 验证 成交额(本周以来) (line)
截至2023年底神州高铁的成交额(本周以来),"神州高铁,000008.SZ,成交额(本周以来),AMOUNT_W","<=,2023",神州高铁,成交额(本周以来),until_2023,[market] 验证 成交额(本周以来) (line)
2023年TCL科技的周BETA(近100周),"TCL科技,000100.SZ,周BETA(近100周),BETA_100W",2023,TCL科技,周BETA(近100周),2023,[market] 验证 周BETA(近100周) (line)
查一下京粮控股的周BETA(近100周),"京粮控股,000505.SZ,周BETA(近100周),BETA_100W",,京粮控股,周BETA(近100周),10y,[market] 验证 周BETA(近100周) (line)
中兴通讯的月BETA(近24月)是多少,"中兴通讯,000063.SZ,月BETA(近24月),BETA_24M",,中兴通讯,月BETA(近24月),10y,[market] 验证 月BETA(近24月) (line)
飞亚达最近一年的月BETA(近24月)走势,"飞亚达,000026.SZ,月BETA(近24月),BETA_24M",,飞亚达,月BETA(近24月),1y,[market] 验证 月BETA(近24月) (line)
云鼎科技最近一年的月BETA(近60月)走势,"云鼎科技,000409.SZ,月BETA(近60月),BETA_60M",,云鼎科技,月BETA(近60月),1y,[market] 验证 月BETA(近60月) (line)
2023年农产品的月BETA(近60月),"农产品,000061.SZ,月BETA(近60月),BETA_60M",2023,农产品,月BETA(近60月),2023,[market] 验证 月BETA(近60月) (line)
申万宏源的日BETA(近1年)是多少,"申万宏源,000166.SZ,日BETA(近1年),BETA_DAY_1Y",,申万宏源,日BETA(近1年),10y,[market] 验证 日BETA(近1年) (line)
截至2023年底华控赛格的日BETA(近1年),"华控赛格,000068.SZ,日BETA(近1年),BETA_DAY_1Y","<=,2023",华控赛格,日BETA(近1年),until_2023,[market] 验证 日BETA(近1年) (line)
查一下富奥股份的日BETA(近2年),"富奥股份,000030.SZ,日BETA(近2年),BETA_DAY_2Y",,富奥股份,日BETA(近2年),10y,[market] 验证 日BETA(近2年) (line)
2023年天健集团的日BETA(近2年),"天健集团,000090.SZ,日BETA(近2年),BETA_DAY_2Y",2023,天健集团,日BETA(近2年),2023,[market] 验证 日BETA(近2年) (line)
吉林化纤最近一年的流通股本走势,"吉林化纤,000420.SZ,流通股本,FLOAT_A_SHR_TODAY",,吉林化纤,流通股本,1y,[market] 验证 流通股本 (line)
2023年天健集团的流通股本,"天健集团,000090.SZ,流通股本,FLOAT_A_SHR_TODAY",2023,天健集团,流通股本,2023,[market] 验证 流通股本 (line)
深振业A的周平均涨跌幅(近100周)是多少,"深振业A,000006.SZ,周平均涨跌幅(近100周),PCT_CHANGE_AVE_100W",,深振业A,周平均涨跌幅(近100周),10y,[market] 验证 周平均涨跌幅(近100周) (line)
粤高速A的周平均涨跌幅(近100周)是多少,"粤高速A,000429.SZ,周平均涨跌幅(近100周),PCT_CHANGE_AVE_100W",,粤高速A,周平均涨跌幅(近100周),10y,[market] 验证 周平均涨跌幅(近100周) (line)
中金岭南的月平均涨跌幅(近24月)是多少,"中金岭南,000060.SZ,月平均涨跌幅(近24月),PCT_CHANGE_AVE_24M",,中金岭南,月平均涨跌幅(近24月),10y,[market] 验证 月平均涨跌幅(近24月) (line)
截至2023年底富奥股份的月平均涨跌幅(近24月),"富奥股份,000030.SZ,月平均涨跌幅(近24月),PCT_CHANGE_AVE_24M","<=,2023",富奥股份,月平均涨跌幅(近24月),until_2023,[market] 验证 月平均涨跌幅(近24月) (line)
华锦股份最新的月平均涨跌幅(近60月),"华锦股份,000059.SZ,月平均涨跌幅(近60月),PCT_CHANGE_AVE_60M","ORDER BY,LIMIT 1",华锦股份,月平均涨跌幅(近60月),latest,[market] 验证 月平均涨跌幅(近60月) (line)
2023年沙河股份的月平均涨跌幅(近60月),"沙河股份,000014.SZ,月平均涨跌幅(近60月),PCT_CHANGE_AVE_60M",2023,沙河股份,月平均涨跌幅(近60月),2023,[market] 验证 月平均涨跌幅(近60月) (line)
2023年盐田港的涨跌幅(本月以来),"盐田港,000088.SZ,涨跌幅(本月以来),PCT_CHANGE_M",2023,盐田港,涨跌幅(本月以来),2023,[market] 验证 涨跌幅(本月以来) (line)
查一下华控赛格的涨跌幅(本月以来),"华控赛格,000068.SZ,涨跌幅(本月以来),PCT_CHANGE_M",,华控赛格,涨跌幅(本月以来),10y,[market] 验证 涨跌幅(本月以来) (line)
川能动力最近一年的涨跌幅(本周以来)走势,"川能动力,000155.SZ,涨跌幅(本周以来),PCT_CHANGE_W",,川能动力,涨跌幅(本周以来),1y,[market] 验证 涨跌幅(本周以来) (line)
2023年潍柴动力的涨跌幅(本周以来),"潍柴动力,000338.SZ,涨跌幅(本周以来),PCT_CHANGE_W",2023,潍柴动力,涨跌幅(本周以来),2023,[market] 验证 涨跌幅(本周以来) (line)
藏格矿业最新的昨收盘价,"藏格矿业,000408.SZ,昨收盘价,PRECLOSE_PRICE","ORDER BY,LIMIT 1,TRADE_DT",藏格矿业,昨收盘价,latest,[market] 验证 昨收盘价 (kline)
2023年云鼎科技的昨收盘价,"云鼎科技,000409.SZ,昨收盘价,PRECLOSE_PRICE","2023,TRADE_DT",云鼎科技,昨收盘价,2023,[market] 验证 昨收盘价 (kline)
深圳机场的周收益率标准差(近100周)是多少,"深圳机场,000089.SZ,周收益率标准差(近100周),STD_DEVIATION_100W",,深圳机场,周收益率标准差(近100周),10y,[market] 验证 周收益率标准差(近100周) (line)
2023年深南电A的周收益率标准差(近100周),"深南电A,000037.SZ,周收益率标准差(近100周),STD_DEVIATION_100W",2023,深南电A,周收益率标准差(近100周),2023,[market] 验证 周收益率标准差(近100周) (line)
全新好的月收益率标准差(近24月)是多少,"全新好,000007.SZ,月收益率标准差(近24月),STD_DEVIATION_24M",,全新好,月收益率标准差(近24月),10y,[market] 验证 月收益率标准差(近24月) (line)
2023年海王生物的月收益率标准差(近24月),"海王生物,000078.SZ,月收益率标准差(近24月),STD_DEVIATION_24M",2023,海王生物,月收益率标准差(近24月),2023,[market] 验证 月收益率标准差(近24月) (line)
*ST张股的月收益率标准差(近60月)是多少,"*ST张股,000430.SZ,月收益率标准差(近60月),STD_DEVIATION_60M",,*ST张股,月收益率标准差(近60月),10y,[market] 验证 月收益率标准差(近60月) (line)
查一下沈阳机床的月收益率标准差(近60月),"沈阳机床,000410.SZ,月收益率标准差(近60月),STD_DEVIATION_60M",,沈阳机床,月收益率标准差(近60月),10y,[market] 验证 月收益率标准差(近60月) (line)
查一下富奥股份的成交金额,"富奥股份,000030.SZ,成交金额,S_DQ_AMOUNT",,富奥股份,成交金额,10y,[market] 验证 成交金额 (line)
截至2023年底渝开发的成交金额,"渝开发,000514.SZ,成交金额,S_DQ_AMOUNT","<=,2023",渝开发,成交金额,until_2023,[market] 验证 成交金额 (line)
中集集团最新的涨跌,"中集集团,000039.SZ,涨跌,S_DQ_CHANGE","ORDER BY,LIMIT 1",中集集团,涨跌,latest,[market] 验证 涨跌 (line)
中信海直最新的涨跌,"中信海直,000099.SZ,涨跌,S_DQ_CHANGE","ORDER BY,LIMIT 1",中信海直,涨跌,latest,[market] 验证 涨跌 (line)
通程控股最新的收盘价,"通程控股,000419.SZ,收盘价,S_DQ_CLOSE","ORDER BY,LIMIT 1,TRADE_DT",通程控股,收盘价,latest,[market] 验证 收盘价 (kline)
深圳华强最新的收盘价,"深圳华强,000062.SZ,收盘价,S_DQ_CLOSE","ORDER BY,LIMIT 1,TRADE_DT",深圳华强,收盘价,latest,[market] 验证 收盘价 (kline)
截至2023年底中金岭南的最高价,"中金岭南,000060.SZ,最高价,S_DQ_HIGH","<=,2023,TRADE_DT",中金岭南,最高价,until_2023,[market] 验证 最高价 (kline)
平安银行最新的最高价,"平安银行,000001.SZ,最高价,S_DQ_HIGH","ORDER BY,LIMIT 1,TRADE_DT",平安银行,最高价,latest,[market] 验证 最高价 (kline)
查一下潍柴动力的最低价,"潍柴动力,000338.SZ,最低价,S_DQ_LOW",TRADE_DT,潍柴动力,最低价,10y,[market] 验证 最低价 (kline)
查一下中集集团的最低价,"中集集团,000039.SZ,最低价,S_DQ_LOW",TRADE_DT,中集集团,最低价,10y,[market] 验证 最低价 (kline)
英特集团的流通市值是多少,"英特集团,000411.SZ,流通市值,S_DQ_MV",,英特集团,流通市值,10y,[market] 验证 流通市值 (line)
*ST国华最新的流通市值,"*ST国华,000004.SZ,流通市值,S_DQ_MV","ORDER BY,LIMIT 1",*ST国华,流通市值,latest,[market] 验证 流通市值 (line)
深康佳A最新的开盘价,"深康佳A,000016.SZ,开盘价,S_DQ_OPEN","ORDER BY,LIMIT 1,TRADE_DT",深康佳A,开盘价,latest,[market] 验证 开盘价 (kline)
查一下海王生物的开盘价,"海王生物,000078.SZ,开盘价,S_DQ_OPEN",TRADE_DT,海王生物,开盘价,10y,[market] 验证 开盘价 (kline)
深华发A最近一年的涨跌幅走势,"深华发A,000020.SZ,涨跌幅,S_DQ_PCTCHANGE",,深华发A,涨跌幅,1y,[market] 验证 涨跌幅 (line)
查一下*ST国华的涨跌幅,"*ST国华,000004.SZ,涨跌幅,S_DQ_PCTCHANGE",,*ST国华,涨跌幅,10y,[market] 验证 涨跌幅 (line)
海王生物最新的成交量,"海王生物,000078.SZ,成交量,S_DQ_VOLUME","ORDER BY,LIMIT 1,TRADE_DT",海王生物,成交量,latest,[market] 验证 成交量 (kline)
2023年*ST国华的成交量,"*ST国华,000004.SZ,成交量,S_DQ_VOLUME","2023,TRADE_DT",*ST国华,成交量,2023,[market] 验证 成交量 (kline)
查一下特发信息的日换手率,"特发信息,000070.SZ,日换手率,TURNOVER_D",,特发信息,日换手率,10y,[market] 验证 日换手率 (line)
华联控股的日换手率是多少,"华联控股,000036.SZ,日换手率,TURNOVER_D",,华联控股,日换手率,10y,[market] 验证 日换手率 (line)
全新好最新的日换手率(自由流通股本),"全新好,000007.SZ,日换手率(自由流通股本),TURNOVER_D_FLOAT","ORDER BY,LIMIT 1",全新好,日换手率(自由流通股本),latest,[market] 验证 日换手率(自由流通股本) (line)
截至2023年底深物业A的日换手率(自由流通股本),"深物业A,000011.SZ,日换手率(自由流通股本),TURNOVER_D_FLOAT","<=,2023",深物业A,日换手率(自由流通股本),until_2023,[market] 验证 日换手率(自由流通股本) (line)
2023年中成股份的月换手率,"中成股份,000151.SZ,月换手率,TURNOVER_M",2023,中成股份,月换手率,2023,[market] 验证 月换手率 (line)
珠海港的月换手率是多少,"珠海港,000507.SZ,月换手率,TURNOVER_M",,珠海港,月换手率,10y,[market] 验证 月换手率 (line)
2023年华联控股的月平均换手率,"华联控股,000036.SZ,月平均换手率,TURNOVER_M_AVE",2023,华联控股,月平均换手率,2023,[market] 验证 月平均换手率 (line)
沈阳机床的月平均换手率是多少,"沈阳机床,000410.SZ,月平均换手率,TURNOVER_M_AVE",,沈阳机床,月平均换手率,10y,[market] 验证 月平均换手率 (line)
2023年平安银行的月平均换手率(自由流通股本),"平安银行,000001.SZ,月平均换手率(自由流通股本),TURNOVER_M_AVE_FLOAT",2023,平安银行,月平均换手率(自由流通股本),2023,[market] 验证 月平均换手率(自由流通股本) (line)
德赛电池最近一年的月平均换手率(自由流通股本)走势,"德赛电池,000049.SZ,月平均换手率(自由流通股本),TURNOVER_M_AVE_FLOAT",,德赛电池,月平均换手率(自由流通股本),1y,[market] 验证 月平均换手率(自由流通股本) (line)
2023年TCL科技的月换手率(自由流通股本),"TCL科技,000100.SZ,月换手率(自由流通股本),TURNOVER_M_FLOAT",2023,TCL科技,月换手率(自由流通股本),2023,[market] 验证 月换手率(自由流通股本) (line)
2023年深科技的月换手率(自由流通股本),"深科技,000021.SZ,月换手率(自由流通股本),TURNOVER_M_FLOAT",2023,深科技,月换手率(自由流通股本),2023,[market] 验证 月换手率(自由流通股本) (line)
截至2023年底丽珠集团的周换手率,"丽珠集团,000513.SZ,周换手率,TURNOVER_W","<=,2023",丽珠集团,周换手率,until_2023,[market] 验证 周换手率 (line)
截至2023年底华天酒店的周换手率,"华天酒店,000428.SZ,周换手率,TURNOVER_W","<=,2023",华天酒店,周换手率,until_2023,[market] 验证 周换手率 (line)
派林生物的周平均换手率是多少,"派林生物,000403.SZ,周平均换手率,TURNOVER_W_AVE",,派林生物,周平均换手率,10y,[market] 验证 周平均换手率 (line)
2023年吉林化纤的周平均换手率,"吉林化纤,000420.SZ,周平均换手率,TURNOVER_W_AVE",2023,吉林化纤,周平均换手率,2023,[market] 验证 周平均换手率 (line)
2023年英特集团的周平均换手率(自由流通股本),"英特集团,000411.SZ,周平均换手率(自由流通股本),TURNOVER_W_AVE_FLOAT",2023,英特集团,周平均换手率(自由流通股本),2023,[market] 验证 周平均换手率(自由流通股本) (line)
中国宝安最新的周平均换手率(自由流通股本),"中国宝安,000009.SZ,周平均换手率(自由流通股本),TURNOVER_W_AVE_FLOAT","ORDER BY,LIMIT 1",中国宝安,周平均换手率(自由流通股本),latest,[market] 验证 周平均换手率(自由流通股本) (line)
兴业银锡的周换手率(自由流通股本)是多少,"兴业银锡,000426.SZ,周换手率(自由流通股本),TURNOVER_W_FLOAT",,兴业银锡,周换手率(自由流通股本),10y,[market] 验证 周换手率(自由流通股本) (line)
国际实业的周换手率(自由流通股本)是多少,"国际实业,000159.SZ,周换手率(自由流通股本),TURNOVER_W_FLOAT",,国际实业,周换手率(自由流通股本),10y,[market] 验证 周换手率(自由流通股本) (line)
查一下渝开发的周收益率方差(近100周),"渝开发,000514.SZ,周收益率方差(近100周),VARIANCE_100W",,渝开发,周收益率方差(近100周),10y,[market] 验证 周收益率方差(近100周) (line)
深圳能源的周收益率方差(近100周)是多少,"深圳能源,000027.SZ,周收益率方差(近100周),VARIANCE_100W",,深圳能源,周收益率方差(近100周),10y,[market] 验证 周收益率方差(近100周) (line)
截至2023年底合百集团的月收益率方差(近24月),"合百集团,000417.SZ,月收益率方差(近24月),VARIANCE_24M","<=,2023",合百集团,月收益率方差(近24月),until_2023,[market] 验证 月收益率方差(近24月) (line)
查一下平安银行的月收益率方差(近24月),"平安银行,000001.SZ,月收益率方差(近24月),VARIANCE_24M",,平安银行,月收益率方差(近24月),10y,[market] 验证 月收益率方差(近24月) (line)
渤海租赁最近一年的月收益率方差(近60月)走势,"渤海租赁,000415.SZ,月收益率方差(近60月),VARIANCE_60M",,渤海租赁,月收益率方差(近60月),1y,[market] 验证 月收益率方差(近60月) (line)
深物业A最新的月收益率方差(近60月),"深物业A,000011.SZ,月收益率方差(近60月),VARIANCE_60M","ORDER BY,LIMIT 1",深物业A,月收益率方差(近60月),latest,[market] 验证 月收益率方差(近60月) (line)
中金岭南最近一年的成交量(本月以来)走势,"中金岭南,000060.SZ,成交量(本月以来),VOLUME_M",TRADE_DT,中金岭南,成交量(本月以来),1y,[market] 验证 成交量(本月以来) (kline)
徐工机械最近一年的成交量(本月以来)走势,"徐工机械,000425.SZ,成交量(本月以来),VOLUME_M",TRADE_DT,徐工机械,成交量(本月以来),1y,[market] 验证 成交量(本月以来) (kline)
深天马A最新的成交量(本周以来),"深天马A,000050.SZ,成交量(本周以来),VOLUME_W","ORDER BY,LIMIT 1,TRADE_DT",深天马A,成交量(本周以来),latest,[market] 验证 成交量(本周以来) (kline)
查一下丽珠集团的成交量(本周以来),"丽珠集团,000513.SZ,成交量(本周以来),VOLUME_W",TRADE_DT,丽珠集团,成交量(本周以来),10y,[market] 验证 成交量(本周以来) (kline)
查一下深桑达A的流通股本,"深桑达A,000032.SZ,流通股本,FLOAT_A_SHR_TODAY",,深桑达A,流通股本,10y,[market] 验证 流通股本 (line)
截至2023年底武商集团的流通股本,"武商集团,000501.SZ,流通股本,FLOAT_A_SHR_TODAY","<=,2023",武商集团,流通股本,until_2023,[market] 验证 流通股本 (line)
查一下英特集团的涨跌,"英特集团,000411.SZ,涨跌,S_DQ_CHANGE",,英特集团,涨跌,10y,[market] 验证 涨跌 (line)
深圳机场最近一年的涨跌走势,"深圳机场,000089.SZ,涨跌,S_DQ_CHANGE",,深圳机场,涨跌,1y,[market] 验证 涨跌 (line)
国际实业的收盘价是多少,"国际实业,000159.SZ,收盘价,S_DQ_CLOSE",TRADE_DT,国际实业,收盘价,10y,[market] 验证 收盘价 (kline)
合百集团最新的收盘价,"合百集团,000417.SZ,收盘价,S_DQ_CLOSE","ORDER BY,LIMIT 1,TRADE_DT",合百集团,收盘价,latest,[market] 验证 收盘价 (kline)
方大集团的最高价是多少,"方大集团,000055.SZ,最高价,S_DQ_HIGH",TRADE_DT,方大集团,最高价,10y,[market] 验证 最高价 (kline)
截至2023年底国新健康的最高价,"国新健康,000503.SZ,最高价,S_DQ_HIGH","<=,2023,TRADE_DT",国新健康,最高价,until_2023,[market] 验证 最高价 (kline)
中国长城最近一年的最低价走势,"中国长城,000066.SZ,最低价,S_DQ_LOW",TRADE_DT,中国长城,最低价,1y,[market] 验证 最低价 (kline)
华控赛格最近一年的最低价走势,"华控赛格,000068.SZ,最低价,S_DQ_LOW",TRADE_DT,华控赛格,最低价,1y,[market] 验证 最低价 (kline)
ST晨鸣最近一年的流通市值走势,"ST晨鸣,000488.SZ,流通市值,S_DQ_MV",,ST晨鸣,流通市值,1y,[market] 验证 流通市值 (line)
川能动力的流通市值是多少,"川能动力,000155.SZ,流通市值,S_DQ_MV",,川能动力,流通市值,10y,[market] 验证 流通市值 (line)
2023年徐工机械的开盘价,"徐工机械,000425.SZ,开盘价,S_DQ_OPEN","2023,TRADE_DT",徐工机械,开盘价,2023,[market] 验证 开盘价 (kline)
全新好的开盘价是多少,"全新好,000007.SZ,开盘价,S_DQ_OPEN",TRADE_DT,全新好,开盘价,10y,[market] 验证 开盘价 (kline)
